startingAirport,destinationAirport,avg_travel_distance_no_stops,avg_travel_duration_no_stops,avg_travel_distance_with_stops,avg_travel_duration_with_stops
ATL,BOS,947.0,157.34,1010.86,420.67
ATL,CLT,228.0,77.45,1137.7,448.08
ATL,DEN,1207.38,197.17,1699.79,520.29
ATL,DFW,725.0,139.26,1096.91,428.13
ATL,DTW,674.21,115.49,1083.79,425.36
ATL,EWR,762.0,136.28,863.52,431.99
ATL,IAD,541.0,106.39,725.96,343.69
ATL,JFK,762.0,140.84,1093.59,453.42
ATL,LAX,1947.27,286.21,2118.34,565.2
ATL,LGA,762.0,139.29,943.92,390.41
ATL,MIA,596.0,115.11,1611.8,512.36
ATL,OAK,2415.49,718.53,2415.49,718.53
ATL,ORD,617.34,129.34,1165.14,495.42
ATL,PHL,670.23,123.63,964.29,428.79
ATL,SFO,2135.24,309.68,2551.64,640.41
BOS,ATL,947.0,171.36,1037.89,418.19
BOS,CLT,728.01,145.19,797.79,382.53
BOS,DEN,1763.16,276.14,1930.12,541.35
BOS,DFW,1556.02,258.1,1657.16,485.8
BOS,DTW,622.1,133.36,781.48,425.03
BOS,EWR,185.0,90.04,1118.73,494.13
BOS,IAD,406.0,96.27,747.26,371.85
BOS,JFK,185.0,80.69,577.13,429.98
BOS,LAX,2606.04,379.15,2738.48,624.46
BOS,LGA,185.0,84.16,811.75,374.01
BOS,MIA,1261.59,213.94,1325.2,447.81
BOS,OAK,3021.86,791.14,3021.86,791.14
BOS,ORD,862.0,174.87,971.61,437.71
BOS,PHL,280.0,98.01,332.03,417.06
BOS,SFO,2698.13,403.18,2859.61,661.74
CLT,ATL,230.94,75.14,1130.88,434.59
CLT,BOS,728.01,133.9,790.57,370.77
CLT,DEN,1346.8,217.5,1767.31,483.07
CLT,DFW,930.12,166.62,1227.91,428.42
CLT,DTW,505.67,106.93,957.77,406.25
CLT,EWR,545.0,112.87,931.07,380.07
CLT,IAD,327.0,87.23,790.72,327.25
CLT,JFK,545.04,119.02,837.08,406.59
CLT,LAX,2119.88,306.39,2440.55,574.88
CLT,LGA,545.01,108.74,744.49,330.87
CLT,MIA,652.64,122.46,1062.2,382.19
CLT,OAK,2597.51,772.25,2597.51,772.25
CLT,ORD,592.68,133.03,1094.93,412.87
CLT,PHL,452.18,99.78,912.43,390.36
CLT,SFO,2293.34,329.5,2697.4,627.69
DEN,ATL,1207.43,176.35,1706.25,488.07
DEN,BOS,1763.19,236.66,1947.92,489.63
DEN,CLT,1346.28,199.84,1782.01,458.7
DEN,DFW,650.0,120.28,1354.01,430.39
DEN,DTW,1143.9,168.54,1709.44,493.3
DEN,EWR,1621.36,226.24,1884.72,471.04
DEN,IAD,1473.55,201.02,1758.95,454.76
DEN,JFK,1621.36,232.31,2021.97,588.23
DEN,LAX,846.07,147.83,1159.93,406.69
DEN,LGA,1621.01,226.49,1858.68,472.01
DEN,MIA,1740.98,233.23,2129.8,514.06
DEN,OAK,943.51,157.28,1336.46,479.73
DEN,ORD,903.43,148.88,1470.93,421.74
DEN,PHL,1567.16,214.8,1897.26,503.95
DEN,SFO,954.05,163.44,1268.04,418.59
DFW,ATL,725.0,128.01,1157.17,437.18
DFW,BOS,1556.03,224.89,1629.01,476.56
DFW,CLT,930.03,154.21,1213.33,408.92
DFW,DEN,650.0,126.36,1384.89,424.28
DFW,DTW,996.8,159.34,1332.88,471.99
DFW,EWR,1380.2,209.83,1516.65,445.81
DFW,IAD,1177.18,177.43,1376.12,406.36
DFW,JFK,1380.2,222.59,1579.78,501.59
DFW,LAX,1259.19,195.13,1531.34,449.84
DFW,LGA,1380.0,209.02,1549.21,448.0
DFW,MIA,1141.44,173.65,1403.53,414.97
